opponent,pct
Inter Path 1,18.182
Morocco,15.186
Senegal,14.916
Inter Path 2,14.25
Ghana,13.631
Cape Verde,13.585
Japan,10.627
Argentina,10.487
South Korea,10.458
Brazil,10.451
Iran,10.398
Australia,10.328
Jordan,9.643
United States,9.237
Canada,9.151
Mexico,9.15
England,7.454
France,7.453
Netherlands,7.42
Spain,7.416
Germany,7.384
Belgium,7.201
Portugal,7.194
Ecuador,7.036
Colombia,6.913
Uruguay,6.773
Haiti,6.028
Curacao,5.959
New Zealand,5.714
UEFA Playoff B,3.362
UEFA Playoff D,3.24
UEFA Playoff A,3.22
UEFA Playoff C,3.184
Switzerland,2.474
Croatia,2.452
Austria,2.437
