,baseline,both_features,playoff_seeding
Inter Path 1,18.13,7.381476295259051,13.209999999999999
Senegal,15.160000000000002,10.832166433286657,13.58
Morocco,15.049999999999999,10.672134426885377,13.66
Inter Path 2,14.01,0.0,7.06
Cape Verde,13.79,13.922784556911383,11.58
Ghana,13.66,14.142828565713142,11.21
Japan,10.82,11.682336467293458,9.9
South Korea,10.75,12.18243648729746,9.91
Argentina,10.67,17.75355071014203,10.31
Australia,10.52,0.0,0.0
Brazil,10.2,17.69353870774155,11.020000000000001
Jordan,10.02,8.541708341668333,7.580000000000001
Iran,9.82,11.40228045609122,9.54
Canada,9.46,21.784356871374275,10.32
Mexico,9.07,20.884176835367075,10.81
United States,9.030000000000001,21.884376875375075,10.68
Spain,7.66,0.0,6.72
Portugal,7.539999999999999,0.0,6.510000000000001
Netherlands,7.5,0.0,6.61
England,7.41,0.0,6.4
France,7.3999999999999995,0.0,6.97
Germany,7.180000000000001,0.0,6.94
Ecuador,7.180000000000001,7.561512302460492,9.76
Uruguay,6.93,7.541508301660333,8.99
Belgium,6.88,0.0,6.710000000000001
Colombia,6.45,7.881576315263053,8.88
New Zealand,6.05,8.111622324464893,4.44
Haiti,5.89,3.200640128025605,5.29
Curacao,5.63,3.210642128425685,5.7299999999999995
UEFA Playoff A,3.55,9.901980396079216,3.74
UEFA Playoff D,3.2,10.342068413682737,4.109999999999999
UEFA Playoff B,3.04,0.0,0.0
UEFA Playoff C,3.0300000000000002,0.0,0.0
Austria,2.58,0.0,0.0
Croatia,2.4899999999999998,0.0,4.109999999999999
Switzerland,2.25,0.0,3.82
Saudi Arabia,0.0,8.971794358871774,7.89
Qatar,0.0,9.171834366873375,7.960000000000001
South Africa,0.0,14.082816563312662,10.72
Uzbekistan,0.0,9.261852370474095,7.33
