team,atlanta,boston,dallas,guadalajara,houston,kansas-city,los-angeles,mexico-city,miami,monterrey,new-york,philadelphia,san-francisco,seattle,toronto,vancouver
Algeria,22.78,16.60,16.56,8.34,18.67,14.59,14.77,12.45,14.53,14.34,18.70,18.68,23.15,14.72,14.54,14.72
Argentina,21.86,21.63,22.10,12.61,24.16,17.78,9.29,6.36,21.86,6.31,22.74,22.80,9.41,9.29,17.79,9.29
Australia,14.76,16.62,17.18,16.34,19.17,14.99,14.39,4.33,14.76,14.25,18.72,18.69,22.73,14.33,14.61,22.46
Austria,15.30,17.34,17.55,15.84,19.82,15.21,13.71,4.43,15.30,13.70,19.53,19.50,20.67,13.86,15.29,20.90
Belgium,17.52,22.44,22.48,10.03,25.92,20.91,7.43,5.05,17.52,9.94,26.67,26.73,7.55,7.43,20.86,7.43
Brazil,17.67,22.75,22.16,10.01,25.71,20.61,7.60,5.01,17.67,9.89,26.76,26.67,7.43,7.60,20.64,7.60
Canada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00
Cape Verde,24.30,14.60,14.55,18.77,16.47,12.78,28.27,15.05,12.83,5.52,16.47,16.50,16.55,17.11,24.45,16.61
Colombia,13.13,15.37,15.49,17.84,17.01,13.48,16.14,3.69,13.13,16.19,17.31,17.31,26.79,16.08,13.55,26.62
Croatia,15.16,17.45,17.49,15.85,19.38,15.28,13.85,4.27,15.16,13.48,19.67,19.68,21.07,13.70,15.45,20.95
Curacao,19.65,22.54,22.09,11.23,24.87,19.17,8.25,5.60,19.65,8.20,25.11,24.95,8.33,8.25,19.44,8.25
Ecuador,13.32,15.11,15.18,18.17,17.25,13.33,16.29,3.75,13.32,16.34,17.12,17.17,26.63,16.06,13.36,26.70
Egypt,22.97,16.54,16.73,8.34,18.66,14.51,14.45,12.61,14.48,14.66,18.66,18.66,23.05,14.75,14.70,14.75
England,21.69,21.94,22.02,12.37,23.89,17.77,9.33,6.18,21.69,6.29,23.06,23.10,9.35,9.33,17.95,9.33
France,21.91,21.77,21.91,12.61,24.08,17.66,9.36,6.31,21.91,6.29,22.82,22.80,9.34,9.36,17.72,9.36
Germany,17.38,22.49,22.73,9.93,25.84,20.96,7.43,5.01,17.38,10.14,26.64,26.64,7.55,7.43,20.85,7.43
Ghana,24.24,14.56,14.58,18.73,16.51,12.84,28.33,15.07,12.84,5.52,16.39,16.41,17.12,16.70,23.96,17.03
Haiti,19.48,22.13,22.09,11.16,24.87,19.36,8.55,5.58,19.48,8.14,24.86,24.84,8.44,8.55,19.31,8.55
Inter Path 1,19.35,22.21,22.20,11.10,25.02,19.43,8.38,5.59,19.35,8.36,25.01,24.98,8.30,8.38,19.48,8.38
